state,dtm_idp_ind,dtm_returnees_ind,month,round,acled_events,acled_fatalities,acled_actor1_n,acled_actor2_n,acled_event_types,wfp_avg_price,wfp_avg_usdprice,wfp_market_count,wfp_commodity_count,wb_gdp_growth_annual_pct,wb_inflation_annual_pct,wb_net_oda_pct_gni,wb_oil_rents_pct_gdp,population_2025,ipc_total_number,ipc_phase3plus_number,ipc_phase4_number,ipc_phase5_number,ipc_phase3plus_pct,ipc_phase4_pct,ipc_phase5_pct,from_date,to_date,snapshot_date,flood_affected_people,flood_displaced_people,days_since_flood_snapshot,flood_recent_available,idp_per_1000,returnees_per_1000,wfp_avg_usdprice_interp,wfp_market_count_interp,wfp_commodity_count_interp,flood_affected_people_model,flood_shock_dummy,dtm_idp_ind_lag1,dtm_returnees_ind_lag1,acled_events_lag1,acled_fatalities_lag1,wfp_avg_usdprice_lag1,wfp_market_count_lag1,wfp_commodity_count_lag1,model_variant,usable_for_model,flood_flag,period,acled_events_lag1_z,ipc_phase3plus_pct_z,wfp_avg_usdprice_lag1_z,flood_flag_z,csi_raw,csi_0_100,conflict_high,ipc_high,price_high,lagged_displacement_high,shock_count,regime
Central Equatoria,184121.0,106468.0,2019-03-01,R5,26.0,17.0,6.0,3.0,4.0,935.058,6.048666666666667,1.0,15.0,,87.2413641500032,,,1678969.7520777483,1100161.0,581833.0,110016.0,0.0,0.5288616847897717,0.0999999091042129,0.0,2019-02-01,2019-04-30,,,,,0,109.6630834308645,63.412696904303594,6.048666666666667,1.0,15.0,0.0,0,188639.0,114470.0,19.0,24.0,6.048666666666667,1.0,15.0,wfp_only_predictor_interpolation,1,0,pre_war,1.0043089203486084,0.21708152294009708,-0.8553961162953745,-0.627415965409547,-0.065355409604054,41.21,True,True,False,True,2,compound
Central Equatoria,210463.0,129144.0,2019-06-01,R6,6.0,26.0,5.0,3.0,5.0,2291.733333333333,14.575333333333331,1.0,15.0,,87.2413641500032,,,1678969.7520777483,1100161.0,636843.0,131036.0,0.0,0.5788634572576196,0.1191062035465718,0.0,2019-05-01,2019-07-31,,,,,0,125.35246673714587,76.91859834888777,14.575333333333331,1.0,15.0,0.0,0,184121.0,106468.0,26.0,17.0,6.048666666666667,1.0,15.0,wfp_only_predictor_interpolation,1,0,pre_war,1.6867437953466615,0.5450801458426973,-0.8553961162953745,-0.627415965409547,0.18725296487110932,50.79,True,True,False,True,2,compound
Central Equatoria,208853.0,147384.0,2019-11-01,R7,8.0,2.0,5.0,4.0,3.0,445.0,2.8236363636363637,1.0,11.0,,87.2413641500032,,,1678969.7520777483,1453508.0,316888.0,12324.0,0.0,0.2180159999119371,0.0084787975023185,0.0,2019-09-01,2019-12-31,,,,,0,124.39354535216702,87.78240335635009,2.8236363636363637,1.0,11.0,0.0,0,210463.0,129144.0,6.0,26.0,14.575333333333331,1.0,15.0,wfp_only_predictor_interpolation,1,0,pre_war,-0.26307013321920397,-1.8219853249542592,-0.024997747723998827,-0.627415965409547,-0.6843672928267522,17.74,True,False,True,True,2,compound
Central Equatoria,220847.0,153118.0,2020-03-01,R8,10.0,1.0,5.0,3.0,4.0,7212.325185185186,45.46296296296296,1.0,27.0,,29.6758435538572,,,1678969.7520777483,1453508.0,670150.0,111474.0,0.0,0.4610569738866246,0.0766930763366971,0.0,2020-02-01,2020-04-30,,,,,0,131.53721186858712,91.1975929349021,45.46296296296296,1.0,27.0,0.0,0,208853.0,147384.0,8.0,2.0,2.8236363636363637,1.0,11.0,wfp_only_predictor_interpolation,1,0,pre_war,-0.06808874036261746,-0.22769974590075928,-1.1694766364943125,-0.627415965409547,-0.5231702720418091,23.85,True,False,False,True,1,conflict
Central Equatoria,247115.0,178822.0,2020-12-01,R10,37.0,63.0,6.0,5.0,3.0,10231.275,58.64138888888889,1.0,32.0,,29.6758435538572,,,1678969.7520777483,1507980.0,421000.0,66000.0,0.0,0.279181421504264,0.0437671587156328,0.0,2020-12-01,2021-03-31,,,,,0,147.18252052736017,106.50698130726018,58.64138888888889,1.0,32.0,0.0,0,234636.0,167828.0,14.0,12.0,23.442972972972974,1.0,33.0,wfp_only_predictor_interpolation,1,0,pre_war,0.5168554382071422,-1.4207560672426338,0.8386074309119225,-0.627415965409547,-0.17317729088327904,37.12,True,False,True,True,2,compound
Central Equatoria,301538.0,,2023-04-01,R14,18.0,18.0,6.0,2.0,3.0,9191.24857142857,10.96107142857143,1.0,25.0,,2.38280434813754,,,1678969.7520777483,1548616.0,805721.0,194135.0,0.0,0.5202845637653234,0.1253603217324372,0.0,2023-04-01,2023-07-31,2022-10-21,0.0,,162.0,1,179.59704135636903,,10.96107142857143,1.0,25.0,0.0,0,308447.0,232549.0,19.0,10.0,26.028965517241375,1.0,28.0,wfp_only_predictor_interpolation,1,0,post_war,1.0043089203486084,0.16081783976172617,1.090453090399595,-0.627415965409547,0.40704097127509564,59.12,True,True,True,True,3,compound
Central Equatoria,262217.0,,2024-09-01,R15,15.0,2.0,8.0,3.0,5.0,18328.368529411764,6.0132352941176475,2.0,22.0,,91.4408220769046,,,1678969.7520777483,1595075.0,760000.0,122000.0,0.0,0.4764666238264658,0.0764854317195116,0.0,2024-09-01,2024-11-30,2022-10-21,0.0,,681.0,1,156.17732223913077,,6.0132352941176475,2.0,22.0,0.0,0,301538.0,,18.0,18.0,10.96107142857143,1.0,25.0,wfp_only_predictor_interpolation,1,0,post_war,0.9068182239203152,-0.1266164500450153,-0.3769849083147677,-0.627415965409547,-0.05604977496225372,41.57,True,False,False,True,1,conflict
Eastern Equatoria,57915.0,112220.0,2019-03-01,R5,1.0,20.0,1.0,1.0,1.0,715.2857142857143,4.627142857142857,1.0,7.0,,87.2413641500032,,,1206088.3959870432,1031669.0,590441.0,150579.0,0.0,0.5723163146319217,0.145956697351573,0.0,2019-02-01,2019-04-30,,,,,0,48.01886842846482,93.0445897443205,4.627142857142857,1.0,7.0,0.0,0,62526.0,96676.0,4.0,2.0,4.627142857142857,1.0,7.0,wfp_only_predictor_interpolation,1,0,pre_war,-0.4580515260757905,0.5021325930023119,-0.9938360364260161,-0.627415965409547,-0.3942927337272604,28.74,False,True,False,False,1,stable
Eastern Equatoria,69399.0,98190.0,2019-06-01,R6,4.0,2.0,2.0,1.0,2.0,3072.2916666666665,19.538333333333338,1.0,12.0,,87.2413641500032,,,1206088.3959870432,1031669.0,585689.0,136108.0,0.0,0.5677101861158957,0.1319299116286328,0.0,2019-05-01,2019-07-31,,,,,0,57.54055857838262,81.41194320972046,19.538333333333338,1.0,12.0,0.0,0,57915.0,112220.0,1.0,20.0,4.627142857142857,1.0,7.0,wfp_only_predictor_interpolation,1,0,pre_war,-0.7505236153606704,0.4719175879014352,-0.9938360364260161,-0.627415965409547,-0.4749645073236996,25.68,False,True,False,False,1,stable
Eastern Equatoria,61225.0,101498.0,2019-11-01,R7,2.0,0.0,1.0,1.0,1.0,,,,,,87.2413641500032,,,1206088.3959870432,1067162.0,378545.0,58642.0,0.0,0.3547212138363247,0.05495135696361,0.0,2019-09-01,2019-12-31,,,,,0,50.76327755387651,84.15469408188419,28.842976190476193,1.5,20.0,0.0,0,69399.0,98190.0,4.0,2.0,19.538333333333338,1.0,12.0,wfp_only_predictor_interpolation,1,0,pre_war,-0.4580515260757905,-0.9252346759720268,0.45834084921342216,-0.627415965409547,-0.38809032956098555,28.98,False,False,True,False,1,stable
Eastern Equatoria,60076.0,106265.0,2020-03-01,R8,3.0,2.0,2.0,2.0,2.0,6051.690476190476,38.147619047619045,2.0,28.0,,29.6758435538572,,,1206088.3959870432,1067162.0,461839.0,119168.0,0.0,0.4327730934947084,0.1116681441055809,0.0,2020-02-01,2020-04-30,,,,,0,49.81061106291034,88.10714069845142,38.147619047619045,2.0,28.0,0.0,0,61225.0,101498.0,2.0,0.0,28.842976190476193,1.5,20.0,wfp_only_predictor_interpolation,1,0,pre_war,-0.653032918932377,-0.4132346451856939,1.3645050691560412,-0.627415965409547,-0.08229461509289421,40.57,False,False,True,False,1,stable
Eastern Equatoria,88103.0,157010.0,2020-12-01,R10,9.0,7.0,2.0,2.0,2.0,9627.896666666667,55.18395833333333,2.0,33.0,,29.6758435538572,,,1206088.3959870432,1097900.0,417000.0,76000.0,0.0,0.3798160123872848,0.069223062209673,0.0,2020-12-01,2021-03-31,,,,,0,73.0485429535187,130.18117123289755,55.18395833333333,2.0,33.0,0.0,0,49511.0,121215.0,4.0,4.0,30.70921052631579,2.0,30.0,wfp_only_predictor_interpolation,1,0,pre_war,-0.4580515260757905,-0.7606193241457329,1.546254633016841,-0.627415965409547,-0.07495804565355735,40.85,False,False,True,False,1,stable
Eastern Equatoria,96327.0,,2023-04-01,R14,15.0,39.0,9.0,4.0,3.0,5537.509074074074,6.6037037037037045,2.0,34.0,,2.38280434813754,,,1206088.3959870432,1127486.0,578536.0,213442.0,0.0,0.5131203402969083,0.189307893845245,0.0,2023-04-01,2023-07-31,2022-11-30,8400.0,,122.0,1,79.8672803092244,,6.6037037037037045,2.0,34.0,8400.0,1,130814.0,190990.0,19.0,19.0,17.401555555555554,2.0,28.0,wfp_only_predictor_interpolation,1,1,post_war,1.0043089203486084,0.11382239708381647,0.2502434941704697,1.5685399135238678,0.7342286812816905,71.53,True,False,True,False,3,compound
Eastern Equatoria,76435.0,,2024-09-01,R15,14.0,6.0,9.0,4.0,4.0,12766.600625,4.18875,1.0,16.0,,91.4408220769046,,,1206088.3959870432,1161311.0,464000.0,132000.0,0.0,0.3995484413735855,0.1136646428045545,0.0,2024-09-01,2024-11-30,2022-11-30,8400.0,,641.0,1,63.37429350478647,,4.18875,1.0,16.0,8400.0,1,96327.0,,15.0,39.0,6.6037037037037045,2.0,34.0,wfp_only_predictor_interpolation,1,1,post_war,0.6143461346354354,-0.6311797220157936,-0.8013419509256817,1.5685399135238678,0.18759109380445696,50.8,True,False,False,False,2,compound
Jonglei,190866.0,199500.0,2019-03-01,R5,7.0,8.0,3.0,4.0,2.0,2614.8333333333335,16.914166666666663,1.0,12.0,,87.2413641500032,,,2138577.806145419,1810241.0,1187891.0,295751.0,20160.0,0.6562059968810783,0.1633765890839948,0.0111366387127459,2019-02-01,2019-04-30,,,,,0,89.24903244180656,93.28629495111969,16.914166666666663,1.0,12.0,0.0,0,122983.0,200206.0,8.0,18.0,2.92,1.0,2.0,wfp_only_predictor_interpolation,1,0,pre_war,-0.06808874036261746,1.0524270904854405,-1.1600919367570997,-0.627415965409547,-0.20079238801095592,36.08,True,True,False,False,2,compound
Jonglei,184753.0,191052.0,2019-06-01,R6,4.0,2.0,4.0,2.0,3.0,1197.2727272727273,7.616363636363636,1.0,11.0,,87.2413641500032,,,2138577.806145419,1810241.0,1230060.0,339931.0,10236.0,0.6795006852678732,0.1877821792788916,0.0056544957273644,2019-05-01,2019-07-31,,,,,0,86.39059073235197,89.33600613033242,7.616363636363636,1.0,11.0,0.0,0,190866.0,199500.0,7.0,8.0,16.914166666666663,1.0,12.0,wfp_only_predictor_interpolation,1,0,pre_war,-0.16557943679091072,1.2052341878083805,0.20277747327213308,-0.627415965409547,0.15375406472001396,49.52,True,True,True,True,3,compound
Jonglei,196055.0,189024.0,2019-11-01,R7,9.0,7.0,5.0,3.0,3.0,,,,,,87.2413641500032,,,2138577.806145419,1931052.0,1000816.0,194848.0,0.0,0.5182750127909554,0.100902513241487,0.0,2019-09-01,2019-12-31,,,,,0,91.67541131148757,88.38771236511504,34.155848484848484,1.0,13.0,0.0,0,184753.0,191052.0,4.0,2.0,7.616363636363636,1.0,11.0,wfp_only_predictor_interpolation,1,0,pre_war,-0.4580515260757905,0.14763570801491463,-0.7027206269227411,-0.627415965409547,-0.410138102598291,28.14,False,True,False,True,1,structural
Jonglei,207154.0,193886.0,2020-03-01,R8,17.0,16.0,6.0,3.0,2.0,9628.766666666666,60.69533333333333,1.0,15.0,,29.6758435538572,,,2138577.806145419,1931052.0,1346417.0,445346.0,20770.0,0.6972453357030262,0.2306235150581134,0.0107557952867141,2020-02-01,2020-04-30,,,,,0,96.86530899400626,90.66118587916186,60.69533333333333,1.0,15.0,0.0,0,196055.0,189024.0,9.0,7.0,34.155848484848484,1.0,13.0,wfp_only_predictor_interpolation,1,0,pre_war,0.029401956065675815,1.3216344796252497,1.881917166772321,-0.627415965409547,0.6513844092634249,68.39,True,True,True,True,3,compound
Jonglei,458035.0,,2023-04-01,R14,62.0,82.0,11.0,7.0,4.0,3382.5506521739135,4.033478260869565,3.0,27.0,,2.38280434813754,,,2138577.806145419,2035636.0,1510907.0,690413.0,36374.0,0.7422284730668941,0.3391632885250604,0.0178686169826039,2023-04-01,2023-07-31,2022-11-30,86381.0,,122.0,1,214.17738399967973,,4.033478260869565,3.0,27.0,86381.0,1,390233.0,249772.0,27.0,37.0,16.102391304347826,2.0,33.0,wfp_only_predictor_interpolation,1,1,post_war,1.7842344917749549,1.6167121614949187,0.12371997485352482,1.5685399135238678,1.2733016354118165,91.97,True,True,True,True,4,compound
Jonglei,434772.0,,2024-09-01,R15,16.0,21.0,8.0,3.0,3.0,31255.74234042553,10.253191489361702,4.0,22.0,,91.4408220769046,,,2138577.806145419,2096706.0,1112000.0,366000.0,0.0,0.5303557103380254,0.1745595233666522,0.0,2024-09-01,2024-11-30,2022-11-30,86381.0,,641.0,1,203.29959412776043,,10.253191489361702,4.0,22.0,86381.0,1,458035.0,,62.0,82.0,4.033478260869565,3.0,27.0,wfp_only_predictor_interpolation,1,1,post_war,5.1964088667652195,0.2268819419697151,-1.0516520777345297,1.5685399135238678,1.4850446611310681,100.0,True,True,False,True,3,compound
Lakes,203088.0,69129.0,2019-03-01,R5,2.0,5.0,2.0,2.0,1.0,2703.6363636363635,17.488636363636363,2.0,13.0,,87.2413641500032,,,1251317.8931699602,1271983.0,778737.0,223783.0,18735.0,0.6122228048645304,0.175932382744109,0.0147289704343532,2019-02-01,2019-04-30,,,,,0,162.29928550411577,55.244954441493434,17.488636363636363,2.0,13.0,0.0,0,161673.0,45817.0,4.0,4.0,17.488636363636363,2.0,13.0,wfp_only_predictor_interpolation,1,0,pre_war,-0.4580515260757905,0.7639087900278952,0.25872415417408756,-0.627415965409547,-0.015708636820838673,43.1,False,True,True,False,2,compound
Lakes,160079.0,97227.0,2019-06-01,R6,3.0,4.0,3.0,2.0,3.0,2454.478260869565,15.609130434782609,2.0,16.0,,87.2413641500032,,,1251317.8931699602,1271983.0,806850.0,253867.0,18735.0,0.6343245153433654,0.1995836422342122,0.0147289704343532,2019-05-01,2019-07-31,,,,,0,127.92832330917308,77.69968009783278,15.609130434782609,2.0,16.0,0.0,0,203088.0,69129.0,2.0,5.0,17.488636363636363,2.0,13.0,wfp_only_predictor_interpolation,1,0,pre_war,-0.653032918932377,0.9088902625449209,0.25872415417408756,-0.627415965409547,-0.0282086169057289,42.62,False,True,True,True,2,compound
Lakes,206455.0,72012.0,2019-11-01,R7,8.0,86.0,3.0,2.0,2.0,1768.3,11.221,2.0,12.0,,87.2413641500032,,,1251317.8931699602,1137753.0,462140.0,99382.0,0.0,0.4061865800397801,0.0873493631746082,0.0,2019-09-01,2019-12-31,,,,,0,164.9900485934778,57.548925331493656,11.221,2.0,12.0,0.0,0,160079.0,97227.0,3.0,4.0,15.609130434782609,2.0,16.0,wfp_only_predictor_interpolation,1,0,pre_war,-0.5555422225040838,-0.5876352588160464,0.07568209119046132,-0.627415965409547,-0.4237278388848039,27.62,False,False,True,False,1,stable
Lakes,187241.0,69322.0,2020-03-01,R8,10.0,70.0,5.0,4.0,2.0,2641.0,16.64777777777778,2.0,25.0,,29.6758435538572,,,1251317.8931699602,1137753.0,655532.0,158294.0,0.0,0.5761637191903691,0.1391286157891915,0.0,2020-02-01,2020-04-30,,,,,0,149.63503760476314,55.39919182677614,16.64777777777778,2.0,25.0,0.0,0,206455.0,72012.0,8.0,86.0,11.221,2.0,12.0,wfp_only_predictor_interpolation,1,0,pre_war,-0.06808874036261746,0.5273705662707877,-0.35167088231875054,-0.627415965409547,-0.12995125545503183,38.76,True,True,True,True,3,compound
Lakes,186568.0,61576.0,2020-12-01,R10,28.0,87.0,14.0,7.0,3.0,12409.991363636364,71.13000000000001,1.0,22.0,,29.6758435538572,,,1251317.8931699602,1180247.0,499000.0,113000.0,0.0,0.4227928560716528,0.0957426708138211,0.0,2020-12-01,2021-03-31,,,,,0,149.09720464986543,49.208918322113725,71.13000000000001,1.0,22.0,0.0,0,186983.0,72911.0,9.0,27.0,59.08909090909091,1.0,21.0,wfp_only_predictor_interpolation,1,0,pre_war,0.029401956065675815,-0.4787024070157002,4.310125591199865,-0.627415965409547,0.8083522937100734,74.34,True,False,True,True,2,compound
Lakes,169678.0,,2023-04-01,R14,15.0,101.0,9.0,4.0,3.0,5099.102926829269,6.081707317073171,2.0,27.0,,2.38280434813754,,,1251317.8931699602,1212052.0,750179.0,245872.0,0.0,0.6189330160752179,0.2028559830766337,0.0,2023-04-01,2023-07-31,2022-11-30,93193.0,,122.0,1,135.59943554403682,,6.081707317073171,2.0,27.0,93193.0,1,175222.0,89251.0,36.0,8.0,16.11148148148148,2.0,34.0,wfp_only_predictor_interpolation,1,1,post_war,2.661650759629594,0.8079260303748517,0.12460525260119618,1.5685399135238678,1.2906804890323775,92.63,True,True,True,False,4,compound
Lakes,115760.0,,2024-09-01,R15,10.0,18.0,7.0,8.0,3.0,15461.55277777778,5.073333333333333,1.0,18.0,,91.4408220769046,,,1251317.8931699602,1248413.0,567000.0,144000.0,0.0,0.4541766226401039,0.1153464438451057,0.0,2024-09-01,2024-11-30,2022-11-30,93193.0,,641.0,1,92.5104648721561,,5.073333333333333,1.0,18.0,93193.0,1,169678.0,,15.0,101.0,6.081707317073171,2.0,27.0,wfp_only_predictor_interpolation,1,1,post_war,0.6143461346354354,-0.27283306063267426,-0.8521783404321103,1.5685399135238678,0.26446866177362965,53.72,True,False,False,False,2,compound
Northern Bahr el Ghazal,76387.0,128903.0,2020-03-01,R8,,,,,,4045.057692307693,25.49923076923077,1.0,24.0,,29.6758435538572,,,1035433.9499753125,946905.0,570206.0,142205.0,0.0,0.6021786768472022,0.1501787402115312,0.0,2020-02-01,2020-04-30,,,,,0,73.77293356261042,124.4917650257396,25.49923076923077,1.0,24.0,0.0,0,127035.0,118150.0,1.0,1.0,10.671,1.0,10.0,wfp_only_predictor_interpolation,1,0,pre_war,-0.7505236153606704,0.6980219225161588,-0.40523449874340933,-0.627415965409547,-0.27128803924936695,33.4,False,True,False,False,1,stable
Northern Bahr el Ghazal,41516.0,141873.0,2020-12-01,R10,2.0,0.0,2.0,1.0,2.0,2784.3857575757575,15.959090909090907,1.0,31.0,,29.6758435538572,,,1035433.9499753125,912347.0,551000.0,179000.0,0.0,0.6039368792794847,0.1961972802015023,0.0,2020-12-01,2021-03-31,,,,,0,40.0952663383211,137.01791408653605,15.959090909090907,1.0,31.0,0.0,0,64893.0,136566.0,1.0,2.0,28.3396,1.0,24.0,wfp_only_predictor_interpolation,1,0,pre_war,-0.7505236153606704,0.7095552731977469,1.3154820706397272,-0.627415965409547,0.1617744407668142,49.83,False,True,True,False,2,compound
Northern Bahr el Ghazal,32023.0,,2023-04-01,R14,3.0,9.0,2.0,2.0,3.0,5645.101472868217,6.731937984496124,5.0,35.0,,2.38280434813754,,,1035433.9499753125,936932.0,655802.0,277225.0,0.0,0.6999462074088622,0.2958859340912681,0.0,2023-04-01,2023-07-31,2022-11-30,251763.0,,122.0,1,30.927129635611735,,6.731937984496124,5.0,35.0,251763.0,1,50709.0,97944.0,1.0,0.0,15.23070707070707,4.0,35.0,wfp_only_predictor_interpolation,1,1,post_war,-0.7505236153606704,1.3393514955714434,0.03882804770051376,1.5685399135238678,0.5490489603587887,64.51,False,True,True,False,3,compound
